city,price,livingArea,lotSizeUnit,lotSize,propertyType,yearBuilt
New York,2695000,3885,acres,0.27,singleFamily,1998
New York,599000,1330,squareFeet,2451.0,singleFamily,1988
New York,769000,1144,squareFeet,4791.6,singleFamily,1925
New York,699000,1452,squareFeet,2500.0,multiFamily,1930
New York,1098000,2093,squareFeet,2500.0,multiFamily,1940
New York,399999,924,squareFeet,924.0,singleFamily,1983
New York,1599500,2730,squareFeet,5662.8,singleFamily,2025
New York,699000,1680,squareFeet,2613.6,singleFamily,1980
New York,499000,960,squareFeet,4000.0,singleFamily,1950
New York,18000000,33000,acres,1.58,singleFamily,2000
New York,1190000,2516,squareFeet,6969.6,singleFamily,1980
New York,885000,2271,squareFeet,1792.0,multiFamily,1960
New York,899000,2583,squareFeet,2500.0,singleFamily,1985
New York,818000,1872,squareFeet,3920.4,singleFamily,1920
New York,1099000,2208,squareFeet,4356.0,singleFamily,1978
New York,639000,2700,squareFeet,4750.0,singleFamily,1949
Los Angeles,1699000,2382,squareFeet,6316.0,singleFamily,1963
Los Angeles,1700000,2371,squareFeet,6403.0,singleFamily,1928
Los Angeles,1979000,2610,acres,0.5143021120293848,singleFamily,1922
Los Angeles,799999,1734,squareFeet,6534.0,singleFamily,1954
Los Angeles,899000,1998,squareFeet,7502.0,singleFamily,1954
Los Angeles,825000,1400,squareFeet,7863.0,singleFamily,1959
Los Angeles,800000,2391,squareFeet,4133.0,singleFamily,2020
Los Angeles,695000,2033,squareFeet,6052.0,singleFamily,1951
Los Angeles,200000,7896,squareFeet,6372.828,multiFamily,1926
Los Angeles,177000000,35000,acres,1.2218,singleFamily,
Los Angeles,1299000,1655,squareFeet,7374.708,singleFamily,1949
Los Angeles,699900,1747,acres,1.68,condo,1970
Los Angeles,799500,1275,squareFeet,7202.0,singleFamily,1955
Los Angeles,1699000,1938,squareFeet,7814.0,singleFamily,1952
Los Angeles,1136900,1914,squareFeet,5000.0,singleFamily,1928
Los Angeles,3495000,3426,squareFeet,7775.46,singleFamily,1955
Los Angeles,1299000,2220,squareFeet,10406.484,singleFamily,1959
Los Angeles,2599000,2886,acres,0.2787,singleFamily,1940
Los Angeles,2999000,3668,squareFeet,5536.476,singleFamily,2019
Los Angeles,2749000,3000,squareFeet,6372.828,singleFamily,1937
Los Angeles,1200000,1560,squareFeet,6160.0,singleFamily,1955
Los Angeles,1200000,1999,squareFeet,6917.0,singleFamily,1950
Chicago,515000,3000,squareFeet,2456.784,singleFamily,
Chicago,2875000,4455,squareFeet,3149.388,singleFamily,1895
Chicago,165000,1642,squareFeet,3125.0,singleFamily,1969
Chicago,699900,2198,squareFeet,8250.0,singleFamily,1931
Chicago,69000,1000,squareFeet,3125.0,singleFamily,1900
Chicago,1179000,2017,squareFeet,960.0,singleFamily,1901
Chicago,495000,2200,squareFeet,3125.0,singleFamily,
Chicago,99999,880,squareFeet,5418.0,singleFamily,1953
Houston,337000,2957,squareFeet,9448.164,singleFamily,1976
Houston,85000,908,acres,3.0289,townhome,1980
