city,propertyType,livingArea,lotSize,yearBuilt,Prezzo Reale,Prezzo Predetto
Santa Ana,singleFamily,1742.0,7148.0,1922.0,549000,693914
Lubbock,singleFamily,2428.0,9147.6,1973.0,248500,319662
Madison,singleFamily,2582.0,9147.6,1971.0,475000,536959
Birmingham,singleFamily,1997.0,20908.8,2014.0,549900,341143
St. Petersburg,singleFamily,1923.0,5798.0,1964.0,349900,512133
Indianapolis,singleFamily,4618.0,14810.399999999996,1957.0,479990,573005
Lincoln,singleFamily,2588.0,6969.6,1933.0,460000,396795
Jacksonville,singleFamily,2711.0,9583.2,2008.0,575000,469583
Fremont,singleFamily,704.0,5662.8,1920.0,154900,228360
Tucson,singleFamily,5091.0,148104.0,2012.0,1600000,1026210
Riverside,singleFamily,2500.0,10019.0,1948.0,835000,688558
Lincoln,singleFamily,1474.0,7840.8,2001.0,310000,334143
Madison,singleFamily,1340.0,7405.2,1965.0,349900,391273
Sacramento,singleFamily,1578.0,4356.0,1932.0,241900,531726
Montgomery,singleFamily,2152.0,9147.6,1966.0,89500,282101
Rochester,singleFamily,1794.0,28314.0,1974.0,299900,280965
Chandler,singleFamily,1647.0,7131.0,1992.0,500000,543207
Akron,singleFamily,1110.0,17998.991999999995,1931.0,199900,223399
Moreno Valley,singleFamily,1901.0,7841.0,1996.0,539000,561577
Milwaukee,singleFamily,1601.0,4791.6,1930.0,274999,315979
Birmingham,singleFamily,1458.0,9147.6,1929.0,114900,262209
Toledo,singleFamily,1418.0,7840.8,1956.0,200000,220043
Rochester,singleFamily,2000.0,33105.6,1975.0,299999,296110
Fort Wayne,singleFamily,1867.0,10890.0,2006.0,409000,318365
Houston,singleFamily,3751.0,9199.872,1972.0,390000,517256
Orlando,singleFamily,2756.0,9807.0,2006.0,650000,614812
San Antonio,singleFamily,2678.0,7143.84,2023.0,377000,404344
St. Petersburg,singleFamily,4087.0,28901.999999999996,2015.0,4450000,945725
Boston,multiFamily,3444.0,2653.0,2013.0,1199900,983831
Denver,singleFamily,2285.0,12196.799999999996,1963.0,1088589,741975
Minneapolis,singleFamily,3408.0,9147.6,1951.0,1175000,577233
Henderson,singleFamily,1356.0,6534.0,1994.0,450000,454463
Durham,singleFamily,2837.0,12196.799999999996,1925.0,1100000,549089
Bakersfield,singleFamily,2287.0,8276.4,1969.0,450000,484722
Modesto,singleFamily,1381.0,5980.788,1976.0,429000,440018
Stockton,singleFamily,1164.0,7300.656,1962.0,385000,376310
Garland,singleFamily,2253.0,16160.76,1984.0,350000,375192
Orlando,singleFamily,1264.0,5400.0,2002.0,388000,422416
